t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920197,8188264,76446.271069,309043.999634,1172276.986812,1463978.405749,events/second
1548920198,8188264,75743.229090,309043.999634,1172276.986812,1463978.405749,events/second
1548920199,8188264,75045.600372,309043.999634,1172276.986812,1463978.405749,events/second
1548920200,8188264,74365.827863,284334.205738,1152900.952502,1455867.742863,events/second
1548920201,8188264,73691.694986,284334.205738,1152900.952502,1455867.742863,events/second
1548920202,8188264,73035.422909,284334.205738,1152900.952502,1455867.742863,events/second
1548920203,8188264,72394.021675,284334.205738,1152900.952502,1455867.742863,events/second
1548920204,8188264,71752.672530,284334.205738,1152900.952502,1455867.742863,events/second
1548920205,8188264,71131.732849,261600.097877,1133845.175869,1447802.014283,events/second
1548920206,8188264,70520.250283,261600.097877,1133845.175869,1447802.014283,events/second
1548920207,8188264,69919.825424,261600.097877,1133845.175869,1447802.014283,events/second
1548920208,8188264,69327.721507,261600.097877,1133845.175869,1447802.014283,events/second
1548920209,8188264,68727.088831,261600.097877,1133845.175869,1447802.014283,events/second
1548920210,8188264,68170.295326,240683.708918,1115104.363521,1439780.971065,events/second
1548920211,8188264,67611.003452,240683.708918,1115104.363521,1439780.971065,events/second
1548920212,8188264,67054.618741,240683.708918,1115104.363521,1439780.971065,events/second
1548920213,8188264,66500.274235,240683.708918,1115104.363521,1439780.971065,events/second
1548920214,8188264,65968.099478,240683.708918,1115104.363521,1439780.971065,events/second
1548920215,8188264,65428.618867,221439.702083,1096673.309555,1431804.365646,events/second
1548920216,8188264,64909.269193,221439.702083,1096673.309555,1431804.365646,events/second
1548920217,8188264,64390.840492,221439.702083,1096673.309555,1431804.365646,events/second
1548920218,8188264,63891.666299,221439.702083,1096673.309555,1431804.365646,events/second
1548920219,8188264,63397.244160,221439.702083,1096673.309555,1431804.365646,events/second
1548920220,8188264,62905.235166,203734.361078,1078546.894115,1423871.951833,events/second
1548920221,8188264,62428.848998,203734.361078,1078546.894115,1423871.951833,events/second
1548920222,8188264,61959.425134,203734.361078,1078546.894115,1423871.951833,events/second
1548920223,8188264,61491.316312,203734.361078,1078546.894115,1423871.951833,events/second
1548920224,8188264,61037.129624,203734.361078,1078546.894115,1423871.951833,events/second
1548920225,8188264,60576.782503,187444.660978,1060720.081970,1415983.484798,events/second
1548920226,8188264,60118.023381,187444.660978,1060720.081970,1415983.484798,events/second
1548920227,8188264,59684.248941,187444.660978,1060720.081970,1415983.484798,events/second
1548920228,8188264,59257.508555,187444.660978,1060720.081970,1415983.484798,events/second
1548920229,8188264,58825.432864,187444.660978,1060720.081970,1415983.484798,events/second
1548920230,8188264,58406.810573,172457.413385,1043187.921113,1408138.721070,events/second
1548920231,8188264,57995.624690,172457.413385,1043187.921113,1408138.721070,events/second
1548920232,8188264,57572.695436,172457.413385,1043187.921113,1408138.721070,events/second
1548920233,8188264,57185.939526,172457.413385,1043187.921113,1408138.721070,events/second
1548920234,8188264,56688.619852,172457.413385,1043187.921113,1408138.721070,events/second
